node_id,raw_id,node_type,bipartite_set,display_name,handle,channel_id,channel_name,category,source_query,source_group,view_count,degree,strength,n_comentarios_observados,n_videos_comentados,n_canales_comentados,n_autores_observados,me_gusta_recibidos,respuestas_recibidas,largo_medio_comentario
A:UC3MYTqpQqlWBuCB7Th0e0PA,UC3MYTqpQqlWBuCB7Th0e0PA,author,0,@isaaclopez7220,@isaaclopez7220,,,,,,,1,1,1,1,1,0,4,0,115.0
A:UC3NMzdMYryaw82kPTnsaljg,UC3NMzdMYryaw82kPTnsaljg,author,0,@marisosa7832,@marisosa7832,,,,,,,1,1,1,1,1,0,0,0,46.0
A:UC3UVO7pTbeYvZ3ILEyRDskQ,UC3UVO7pTbeYvZ3ILEyRDskQ,author,0,@rosaelenaargueta79,@rosaelenaargueta79,,,,,,,1,1,1,1,1,0,1,0,57.0
A:UC3YpzAr7pcdKC7BVFEpYzog,UC3YpzAr7pcdKC7BVFEpYzog,author,0,@carmenfigueroa1232,@carmenfigueroa1232,,,,,,,1,1,1,1,1,0,4,1,186.0
A:UC3iIU62XKUOWuqL8BqBzj9A,UC3iIU62XKUOWuqL8BqBzj9A,author,0,@antonioduarte2288,@antonioduarte2288,,,,,,,1,1,1,1,1,0,0,0,90.0
A:UC3qn1yJA5PeW9rkGPatQxiw,UC3qn1yJA5PeW9rkGPatQxiw,author,0,@VICTOREST19,@VICTOREST19,,,,,,,1,1,1,1,1,0,7,0,82.0
A:UC4Avya4kmR4Q0FrfFdBozSQ,UC4Avya4kmR4Q0FrfFdBozSQ,author,0,@davidlima1348,@davidlima1348,,,,,,,1,1,1,1,1,0,11,0,305.0
A:UC4cXueR2bKGFJV0Fk76gwmA,UC4cXueR2bKGFJV0Fk76gwmA,author,0,@aluxdel4792,@aluxdel4792,,,,,,,1,1,1,1,1,0,0,0,199.0
A:UC4kg7zuTfqQKLd2bkZrSYBA,UC4kg7zuTfqQKLd2bkZrSYBA,author,0,@zoilagarcia9019,@zoilagarcia9019,,,,,,,1,1,1,1,1,0,0,0,39.0
A:UC4wq3DcbfaG6dtCqn8Oyu3w,UC4wq3DcbfaG6dtCqn8Oyu3w,author,0,@hugoasencio7764,@hugoasencio7764,,,,,,,1,1,1,1,1,0,1,0,30.0
A:UC5PrBbmUlQolwqmiru7yZhw,UC5PrBbmUlQolwqmiru7yZhw,author,0,@lazarochavez8269,@lazarochavez8269,,,,,,,1,1,1,1,1,0,0,1,352.0
A:UC5PyGvSfFM--OVKmQ3COu6g,UC5PyGvSfFM--OVKmQ3COu6g,author,0,@FreddyGmez,@FreddyGmez,,,,,,,1,1,1,1,1,0,3,0,61.0
A:UC5bG9nc_JV3FsNP2KseQiYw,UC5bG9nc_JV3FsNP2KseQiYw,author,0,@giovannirodas4836,@giovannirodas4836,,,,,,,1,1,1,1,1,0,2,0,313.0
A:UC5fvhAfm89JH8eDFdvc0xYw,UC5fvhAfm89JH8eDFdvc0xYw,author,0,@isaidiaz2388,@isaidiaz2388,,,,,,,1,1,1,1,1,0,0,0,19.0
A:UC5hvEnRUzI4Kfvwnyi4QxqQ,UC5hvEnRUzI4Kfvwnyi4QxqQ,author,0,@leonelsantizo5281,@leonelsantizo5281,,,,,,,1,1,1,1,1,0,2,0,105.0
A:UC5wuDq3U3vRAhOQI3D7gNdw,UC5wuDq3U3vRAhOQI3D7gNdw,author,0,@allanreneramirezgonzalez534,@allanreneramirezgonzalez534,,,,,,,1,1,1,1,1,0,2,1,69.0
A:UC63tFvbQ_hJhGDi2nbjssjw,UC63tFvbQ_hJhGDi2nbjssjw,author,0,@AbigailRodas-w2r,@AbigailRodas-w2r,,,,,,,1,1,1,1,1,0,2,0,65.0
A:UC650pRT-OYzny3GwOH8Cgfw,UC650pRT-OYzny3GwOH8Cgfw,author,0,@edvinparedesherrera7632,@edvinparedesherrera7632,,,,,,,1,1,1,1,1,0,1,0,89.0
A:UC6PvO1_k5lHKGdAPo5_C6TA,UC6PvO1_k5lHKGdAPo5_C6TA,author,0,@johnmejia992,@johnmejia992,,,,,,,1,1,1,1,1,0,1,0,87.0
A:UC6Uj1FT5JjDSF8vudvDxPAA,UC6Uj1FT5JjDSF8vudvDxPAA,author,0,@alfredoortega9264,@alfredoortega9264,,,,,,,1,1,1,1,1,0,1,0,139.0
A:UC6YSZqL0vEcI-niPKIMUGfw,UC6YSZqL0vEcI-niPKIMUGfw,author,0,@maxwellsales885,@maxwellsales885,,,,,,,1,1,1,1,1,0,2,0,174.0
A:UC6xI_MOaxajIWpoP8BH6E_Q,UC6xI_MOaxajIWpoP8BH6E_Q,author,0,@jahirdiaz5862,@jahirdiaz5862,,,,,,,1,1,1,1,1,0,0,0,5.0
A:UC7VUuJr9cGh845CmTvf7TlQ,UC7VUuJr9cGh845CmTvf7TlQ,author,0,@LuisCastillo-oz4df,@LuisCastillo-oz4df,,,,,,,1,1,1,1,1,0,1,0,150.0
A:UC7dadZG7kkGYnsNu6td0FbA,UC7dadZG7kkGYnsNu6td0FbA,author,0,@lesolorzano,@lesolorzano,,,,,,,1,1,1,1,1,0,18,0,55.0
A:UC816IGbFCZinfYS1LRDaaHg,UC816IGbFCZinfYS1LRDaaHg,author,0,@ingenieroar,@ingenieroar,,,,,,,1,1,1,1,1,0,1,0,18.0
A:UC8F2V63KZ4ZEay6opX2hAQw,UC8F2V63KZ4ZEay6opX2hAQw,author,0,@carmenr6311,@carmenr6311,,,,,,,1,1,1,1,1,0,0,0,688.0
A:UC8G5cJONY8L9voMyBW8Eoug,UC8G5cJONY8L9voMyBW8Eoug,author,0,@luisparedes-pw6qt,@luisparedes-pw6qt,,,,,,,1,1,1,1,1,0,0,0,64.0
A:UC8r11yOugM2NuRfitQOxLLg,UC8r11yOugM2NuRfitQOxLLg,author,0,@cesaraugustomoralesmonroy6907,@cesaraugustomoralesmonroy6907,,,,,,,1,1,1,1,1,0,1,0,285.0
A:UC8xlJWNHz1V_W6q3fbuQH8g,UC8xlJWNHz1V_W6q3fbuQH8g,author,0,@NormaLópez-v7e,@NormaLópez-v7e,,,,,,,1,1,1,1,1,0,1,0,25.0
A:UC95PSMouTx2N5CbSq0hIyrQ,UC95PSMouTx2N5CbSq0hIyrQ,author,0,@lisss1908,@lisss1908,,,,,,,1,1,1,1,1,0,0,0,1.0
A:UC9Wp6vL5oCU37qC3Aj94WZA,UC9Wp6vL5oCU37qC3Aj94WZA,author,0,@ManuelSanchez-b8q2z,@ManuelSanchez-b8q2z,,,,,,,1,1,1,1,1,0,0,0,102.0
A:UC9xr9QvIcDvoZNUX5f-jaZw,UC9xr9QvIcDvoZNUX5f-jaZw,author,0,@MariaaliciaColonmorales,@MariaaliciaColonmorales,,,,,,,1,1,1,1,1,0,0,0,186.0
A:UCA93ym2TXs_Ibyxb4Vcn-6Q,UCA93ym2TXs_Ibyxb4Vcn-6Q,author,0,@oswaldosolis8728,@oswaldosolis8728,,,,,,,1,1,1,1,1,0,0,0,57.0
A:UCAKuKvcbfnBD3kF5njNu-IA,UCAKuKvcbfnBD3kF5njNu-IA,author,0,@melvinlopez7096,@melvinlopez7096,,,,,,,1,1,1,1,1,0,0,0,22.0
A:UCAV7QIjYhbDJaycQycM_0eQ,UCAV7QIjYhbDJaycQycM_0eQ,author,0,@mariavail8998,@mariavail8998,,,,,,,1,1,1,1,1,0,3,0,149.0
A:UCAlzM_N6xBlMYmM8EBzX86Q,UCAlzM_N6xBlMYmM8EBzX86Q,author,0,@carlossoto3252,@carlossoto3252,,,,,,,1,1,1,1,1,0,3,0,458.0
A:UCAmtbUiIrUIhikru0ZoTFig,UCAmtbUiIrUIhikru0ZoTFig,author,0,@Aura-vf6dm,@Aura-vf6dm,,,,,,,1,1,1,1,1,0,7,0,11.0
A:UCB5p8a5gklc80jJItP6xTHg,UCB5p8a5gklc80jJItP6xTHg,author,0,@ernestogamboa8737,@ernestogamboa8737,,,,,,,1,1,1,1,1,0,6,0,91.0
A:UCBtB5dIyx-C16UN8ClUD2UA,UCBtB5dIyx-C16UN8ClUD2UA,author,0,@alexmonzon4257,@alexmonzon4257,,,,,,,1,1,1,1,1,0,0,0,45.0
A:UCCBYcToQ2dwkd6TJh0FSyDg,UCCBYcToQ2dwkd6TJh0FSyDg,author,0,@lidiarodriguez3493,@lidiarodriguez3493,,,,,,,1,1,1,1,1,0,0,0,84.0
A:UCCUmP4PlbwgikVFpYwbtRTg,UCCUmP4PlbwgikVFpYwbtRTg,author,0,@alhvi,@alhvi,,,,,,,1,1,1,1,1,0,3,0,153.0
