source,target,source_raw_id,target_raw_id,weight,significado_peso,source_label,target_label
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCzZ6dDCEsLMXbc5pCFXIprw,UC-HeUTT6_g-VoiWds2a4H-w,UCzZ6dDCEsLMXbc5pCFXIprw,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@josegil3813
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UC0HvfEWozTHbwl_iEmJNvVA,UC-Iul5tDYH_oiAMXQH-KaaQ,UC0HvfEWozTHbwl_iEmJNvVA,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@OttoPalencia-b7r
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UC14qlobYKqD-DO0j6b75lcA,UC-Iul5tDYH_oiAMXQH-KaaQ,UC14qlobYKqD-DO0j6b75lcA,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@megavision4488
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UC1NiEdJ7gk6FlDexIalWnGg,UC-Iul5tDYH_oiAMXQH-KaaQ,UC1NiEdJ7gk6FlDexIalWnGg,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@BorisTebalán
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UC3YpzAr7pcdKC7BVFEpYzog,UC-Iul5tDYH_oiAMXQH-KaaQ,UC3YpzAr7pcdKC7BVFEpYzog,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@carmenfigueroa1232
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UC63tFvbQ_hJhGDi2nbjssjw,UC-Iul5tDYH_oiAMXQH-KaaQ,UC63tFvbQ_hJhGDi2nbjssjw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@AbigailRodas-w2r
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCEHXl4VvvVpq-_4xC5tsbhg,UC-Iul5tDYH_oiAMXQH-KaaQ,UCEHXl4VvvVpq-_4xC5tsbhg,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@anibalg47
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCFybmWapGvBKcQod7cPPH9w,UC-Iul5tDYH_oiAMXQH-KaaQ,UCFybmWapGvBKcQod7cPPH9w,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@vitalianochavez8382
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCRfkkatKrNtAARnXMMYBGlA,UC-Iul5tDYH_oiAMXQH-KaaQ,UCRfkkatKrNtAARnXMMYBGlA,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@BernerSoza-mg3vx
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCV3fr-YOixFKCZBbJP1-X4w,UC-Iul5tDYH_oiAMXQH-KaaQ,UCV3fr-YOixFKCZBbJP1-X4w,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@albertoshernandez5251
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCWaRixDdpgllTBf4V0jPnKQ,UC-Iul5tDYH_oiAMXQH-KaaQ,UCWaRixDdpgllTBf4V0jPnKQ,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@hectormaaz5523
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCWvntqPQx99k_Z_skWKqNSA,UC-Iul5tDYH_oiAMXQH-KaaQ,UCWvntqPQx99k_Z_skWKqNSA,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@AntonioChiyal-x5s
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCZFQwqh90apuL8eFhvRBkUg,UC-Iul5tDYH_oiAMXQH-KaaQ,UCZFQwqh90apuL8eFhvRBkUg,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@luisricardo9671
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCa36MjQLoPAmgJo-R3G8WQA,UC-Iul5tDYH_oiAMXQH-KaaQ,UCa36MjQLoPAmgJo-R3G8WQA,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@elsasalguero6914
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCaT4saRcyqCLE657Rq2hhZQ,UC-Iul5tDYH_oiAMXQH-KaaQ,UCaT4saRcyqCLE657Rq2hhZQ,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@elmilenial4064
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCeQk-WfEA-cJRq4EKeE7TOw,UC-Iul5tDYH_oiAMXQH-KaaQ,UCeQk-WfEA-cJRq4EKeE7TOw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@franciscojuarez9223
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCfo_yUPzy1f1POwwZxhZ06Q,UC-Iul5tDYH_oiAMXQH-KaaQ,UCfo_yUPzy1f1POwwZxhZ06Q,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@lara11roberto
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCgGqw4aqMdMVSGkKiMgrJRQ,UC-Iul5tDYH_oiAMXQH-KaaQ,UCgGqw4aqMdMVSGkKiMgrJRQ,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@pattyfigueroa5609
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCheEJ5GZuIvV0fj-nXyVwXw,UC-Iul5tDYH_oiAMXQH-KaaQ,UCheEJ5GZuIvV0fj-nXyVwXw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@rosaoliva9389
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UChyps3dqY-VY1_wLeq-2lhw,UC-Iul5tDYH_oiAMXQH-KaaQ,UChyps3dqY-VY1_wLeq-2lhw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@maydamorales4395
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCiOZX__1gahg1ypIj0_XG_w,UC-Iul5tDYH_oiAMXQH-KaaQ,UCiOZX__1gahg1ypIj0_XG_w,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@mariogonzalezorellana8956
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCjZgFEowMBrsjodqfovzdKw,UC-Iul5tDYH_oiAMXQH-KaaQ,UCjZgFEowMBrsjodqfovzdKw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@franciscoflores3120
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCoGdCoJg2Lh0OX_jv6cG16g,UC-Iul5tDYH_oiAMXQH-KaaQ,UCoGdCoJg2Lh0OX_jv6cG16g,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@Israel-u5i7i
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCp29O_C7cchZV8IxV7Crdag,UC-Iul5tDYH_oiAMXQH-KaaQ,UCp29O_C7cchZV8IxV7Crdag,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@robertoescobar5507
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCql1n3Ey6ULMSOACjMe-fxQ,UC-Iul5tDYH_oiAMXQH-KaaQ,UCql1n3Ey6ULMSOACjMe-fxQ,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@RolandoGonzalez-o7g
A:UC-Iul5tDYH_oiAMXQH-KaaQ,A:UCtCtts20bW6F9CSohau51Iw,UC-Iul5tDYH_oiAMXQH-KaaQ,UCtCtts20bW6F9CSohau51Iw,1,numero de videos compartidos por los dos autores,@AlbertoMancilla-p9h,@carlosgranados9875
