node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,degree,strength,n_comentarios_observados,n_videos_comentados
A:UCErZPJpHmLCsXs8ZWkAUupQ,UCErZPJpHmLCsXs8ZWkAUupQ,author,@dorisl.garciaroche7763,@dorisl.garciaroche7763,,,,,,127,127,1,1
A:UCtNfIBnc5S5DbbQj_yxgJTw,UCtNfIBnc5S5DbbQj_yxgJTw,author,@JosueRamirez-ey3ih,@JosueRamirez-ey3ih,,,,,,127,127,1,1
A:UCsjs5Hp_r86x1xbK6FAeqaA,UCsjs5Hp_r86x1xbK6FAeqaA,author,@alvaroesquivel563,@alvaroesquivel563,,,,,,127,127,1,1
A:UC3NMzdMYryaw82kPTnsaljg,UC3NMzdMYryaw82kPTnsaljg,author,@marisosa7832,@marisosa7832,,,,,,127,127,1,1
A:UC3MYTqpQqlWBuCB7Th0e0PA,UC3MYTqpQqlWBuCB7Th0e0PA,author,@isaaclopez7220,@isaaclopez7220,,,,,,127,127,1,1
A:UC3E9mAgP7VoAE5mZoAexl5g,UC3E9mAgP7VoAE5mZoAexl5g,author,@EnnioAroche,@EnnioAroche,,,,,,127,127,1,1
A:UC1vr9aaMI2crB0NvwFHUeoQ,UC1vr9aaMI2crB0NvwFHUeoQ,author,@JoseSimilox-p6e,@JoseSimilox-p6e,,,,,,127,127,1,1
A:UC2Y_EHWQKevubk4vOEBBFxw,UC2Y_EHWQKevubk4vOEBBFxw,author,@alfonsomorales2653,@alfonsomorales2653,,,,,,127,127,1,1
A:UC2weSE8rpqkGMOp6StYtVfg,UC2weSE8rpqkGMOp6StYtVfg,author,@katerynsantiago2907,@katerynsantiago2907,,,,,,127,127,1,1
A:UC5bG9nc_JV3FsNP2KseQiYw,UC5bG9nc_JV3FsNP2KseQiYw,author,@giovannirodas4836,@giovannirodas4836,,,,,,127,127,1,1
A:UC5H8ASmMC9WrURmzeB4ySog,UC5H8ASmMC9WrURmzeB4ySog,author,@ManuelEdran,@ManuelEdran,,,,,,127,127,5,1
A:UC3XTwHxygNCgjndsg-UiCQA,UC3XTwHxygNCgjndsg-UiCQA,author,@marioajset4283,@marioajset4283,,,,,,127,127,3,1
A:UCujPF2nBgsTD62nWE3lcpIg,UCujPF2nBgsTD62nWE3lcpIg,author,@victorarturoruanobautista7588,@victorarturoruanobautista7588,,,,,,127,127,1,1
A:UCueV9cTyTDwgQSec1x2dYgA,UCueV9cTyTDwgQSec1x2dYgA,author,@fredydomingo7062,@fredydomingo7062,,,,,,127,127,1,1
A:UC4cXueR2bKGFJV0Fk76gwmA,UC4cXueR2bKGFJV0Fk76gwmA,author,@aluxdel4792,@aluxdel4792,,,,,,127,127,1,1
A:UCDftMWXQoJ6nONfY7GVOVjg,UCDftMWXQoJ6nONfY7GVOVjg,author,@luisgpacheco5858,@luisgpacheco5858,,,,,,127,127,1,1
A:UCDlr1VadSucIZgZ171pRBjQ,UCDlr1VadSucIZgZ171pRBjQ,author,@cuabatzjj5924,@cuabatzjj5924,,,,,,127,127,1,1
A:UCl0ekS9Tt0jJGtOEM18S63w,UCl0ekS9Tt0jJGtOEM18S63w,author,@monkchapin,@monkchapin,,,,,,127,127,1,1
A:UCFjudnPLoaSL1BaRuLahyHg,UCFjudnPLoaSL1BaRuLahyHg,author,@HaroldoCastillo-rh9iw,@HaroldoCastillo-rh9iw,,,,,,127,127,3,1
A:UCiMythXHsw7eQEMykCdmMUA,UCiMythXHsw7eQEMykCdmMUA,author,@JavierBecerra-h6x,@JavierBecerra-h6x,,,,,,127,127,1,1
A:UCi1b_TRQfgO1Z9O2gNGGWNA,UCi1b_TRQfgO1Z9O2gNGGWNA,author,@davidisraelesquitsaquil,@davidisraelesquitsaquil,,,,,,127,127,2,1
A:UCmjppp6ujz3SAnULvP3sZMw,UCmjppp6ujz3SAnULvP3sZMw,author,@marcomendez7509,@marcomendez7509,,,,,,127,127,1,1
A:UCljDbleJul41G1TzOjOZAVA,UCljDbleJul41G1TzOjOZAVA,author,@hectorcarranza3777,@hectorcarranza3777,,,,,,127,127,1,1
A:UCjSKM9j0Q7HLDr1hD6D-TUw,UCjSKM9j0Q7HLDr1hD6D-TUw,author,@josehidalgo4875,@josehidalgo4875,,,,,,127,127,1,1
A:UCiGRBf2RNF0WRKhRVT7zFoA,UCiGRBf2RNF0WRKhRVT7zFoA,author,@edwinavila4876,@edwinavila4876,,,,,,127,127,1,1
A:UCkd9W714-947dEE6ZOEBATA,UCkd9W714-947dEE6ZOEBATA,author,@ARGELIATELON,@ARGELIATELON,,,,,,127,127,2,1
A:UCjmPuazZJzscrwvk0QR9RVw,UCjmPuazZJzscrwvk0QR9RVw,author,@mynorrodas8591,@mynorrodas8591,,,,,,127,127,1,1
A:UCNkcuy42zEwddwEcOd_HpnA,UCNkcuy42zEwddwEcOd_HpnA,author,@vanigomez492,@vanigomez492,,,,,,127,127,1,1
A:UCOh6DaZC_x9HASnlRylEMfw,UCOh6DaZC_x9HASnlRylEMfw,author,@AndresMedina-v1s,@AndresMedina-v1s,,,,,,127,127,1,1
A:UChs3tU2BcKOT0CezykvAsGw,UChs3tU2BcKOT0CezykvAsGw,author,@byronpontaza,@byronpontaza,,,,,,127,127,3,1
A:UChgkn5Jt5tWKYMoEOuCjz3Q,UChgkn5Jt5tWKYMoEOuCjz3Q,author,@pablochitay46,@pablochitay46,,,,,,127,127,1,1
A:UChep9kVb5gQmpodEEl10Xlg,UChep9kVb5gQmpodEEl10Xlg,author,@carlosaguilar-kz7ml,@carlosaguilar-kz7ml,,,,,,127,127,1,1
A:UChZknRmJkeGeQk0-mQuhDOg,UChZknRmJkeGeQk0-mQuhDOg,author,@OdilioRodríguez-c5w,@OdilioRodríguez-c5w,,,,,,127,127,1,1
A:UCj-LL25XJnjxepPKCc3NGog,UCj-LL25XJnjxepPKCc3NGog,author,@anaaguirre8985,@anaaguirre8985,,,,,,127,127,1,1
A:UCEgEQmRbtL5fwr9_DqAC--g,UCEgEQmRbtL5fwr9_DqAC--g,author,@ArielRodas-g5y,@ArielRodas-g5y,,,,,,127,127,1,1
A:UCV0iizTBoOfdAFX_thfI9BA,UCV0iizTBoOfdAFX_thfI9BA,author,@BenjaminLarios-jd8nk,@BenjaminLarios-jd8nk,,,,,,127,127,1,1
A:UCh5ESQvtzyHDhCA7XyekCFA,UCh5ESQvtzyHDhCA7XyekCFA,author,@andyB5280,@andyB5280,,,,,,127,127,3,1
A:UCL1MT278vSaQ83ZDkVWn1gw,UCL1MT278vSaQ83ZDkVWn1gw,author,@elmorodriguez6978,@elmorodriguez6978,,,,,,127,127,1,1
A:UCgvw7xIdGFupzpt1Y_BFkEA,UCgvw7xIdGFupzpt1Y_BFkEA,author,@fredygarcia9151,@fredygarcia9151,,,,,,127,127,1,1
A:UCfM3nrxtTQMY5jFx1v1J4Gg,UCfM3nrxtTQMY5jFx1v1J4Gg,author,@edgarroldan5539,@edgarroldan5539,,,,,,127,127,1,1
A:UCcfdg8crmMJwEuLUsAhV7yg,UCcfdg8crmMJwEuLUsAhV7yg,author,@RolandoRaguay,@RolandoRaguay,,,,,,127,127,1,1
A:UCUIIIPTVDVHAXqhC_5V6lPA,UCUIIIPTVDVHAXqhC_5V6lPA,author,@gorrarota,@gorrarota,,,,,,127,127,1,1
A:UCKDR0f2fu2UzWL8mBv5-BHw,UCKDR0f2fu2UzWL8mBv5-BHw,author,@mireyamorales6595,@mireyamorales6595,,,,,,127,127,1,1
A:UCN6qbfPSzFtjhqUDZ3Cv3CQ,UCN6qbfPSzFtjhqUDZ3Cv3CQ,author,@carlosmedranovelasquez6380,@carlosmedranovelasquez6380,,,,,,127,127,1,1
A:UCOLGv5Pf6BF2wFcwUzgcvHg,UCOLGv5Pf6BF2wFcwUzgcvHg,author,@welfrealdana5559,@welfrealdana5559,,,,,,127,127,2,1
A:UCOS8ViEkccrTZx2w2ccxotA,UCOS8ViEkccrTZx2w2ccxotA,author,@OscarHernandez-q8y,@OscarHernandez-q8y,,,,,,127,127,1,1
A:UCLFdHr9BEbXHkoJopbEPLZw,UCLFdHr9BEbXHkoJopbEPLZw,author,@kanterra4584,@kanterra4584,,,,,,127,127,2,1
A:UCNBnKqWf4d-rS4HwJRQljmQ,UCNBnKqWf4d-rS4HwJRQljmQ,author,@LE_A22,@LE_A22,,,,,,127,127,2,1
A:UCLggDc_a5HriXv7I1h02sOA,UCLggDc_a5HriXv7I1h02sOA,author,@guillermogonzalez5153,@guillermogonzalez5153,,,,,,127,127,2,1
A:UCL13XhnRzbGokEkCkEOb0-g,UCL13XhnRzbGokEkCkEOb0-g,author,@raquelprado3643,@raquelprado3643,,,,,,127,127,2,1
A:UCXgr7vXlRrsaskPdo097kGA,UCXgr7vXlRrsaskPdo097kGA,author,@Rogergh-nw4oj,@Rogergh-nw4oj,,,,,,127,127,1,1
A:UCRETAiYdh2dL5ZxB0_N1zDA,UCRETAiYdh2dL5ZxB0_N1zDA,author,@Joseroland21,@Joseroland21,,,,,,127,127,1,1
A:UCQtSFINs1h6GHkpg9o5kMvg,UCQtSFINs1h6GHkpg9o5kMvg,author,@MacarioMartinezruiz,@MacarioMartinezruiz,,,,,,127,127,1,1
A:UCYN4wSQ1Sx4_LurxLlW7MPg,UCYN4wSQ1Sx4_LurxLlW7MPg,author,@belarminavillatoro6474,@belarminavillatoro6474,,,,,,127,127,1,1
A:UCXr8_5WtGeipe4haOoQDgyQ,UCXr8_5WtGeipe4haOoQDgyQ,author,@amyherrera7352,@amyherrera7352,,,,,,127,127,1,1
A:UCQ_-LPP8JAbfkc-b1Q6NvWw,UCQ_-LPP8JAbfkc-b1Q6NvWw,author,@MegaKristenstewart,@MegaKristenstewart,,,,,,127,127,2,1
A:UCRlCV9zSn7avAWh-9_XFWqQ,UCRlCV9zSn7avAWh-9_XFWqQ,author,@ronyarana8849,@ronyarana8849,,,,,,127,127,1,1
A:UCQgYjVngJRfPHDLGB5X6ZjA,UCQgYjVngJRfPHDLGB5X6ZjA,author,@oscarnavas9996,@oscarnavas9996,,,,,,127,127,1,1
A:UCQqetiwzzmRNTM5OWuXarGQ,UCQqetiwzzmRNTM5OWuXarGQ,author,@isaiaslopezvelasquez1539,@isaiaslopezvelasquez1539,,,,,,127,127,1,1
A:UCThW2XNsAaBKme5PUt7n-Zg,UCThW2XNsAaBKme5PUt7n-Zg,author,@thelmamoran8565,@thelmamoran8565,,,,,,127,127,1,1
A:UCRelkU8JiZBytTzebJxaa-w,UCRelkU8JiZBytTzebJxaa-w,author,@danyraymundo2942,@danyraymundo2942,,,,,,127,127,1,1
A:UCTwSut16JyAg3mX6LVUNGqA,UCTwSut16JyAg3mX6LVUNGqA,author,@SuperVictor2005,@SuperVictor2005,,,,,,127,127,1,1
A:UCTylKrsqkrBKIqubMu_5N0Q,UCTylKrsqkrBKIqubMu_5N0Q,author,@edwingeovanymarroquinmarro6684,@edwingeovanymarroquinmarro6684,,,,,,127,127,1,1
A:UCTD6q1nyIe3Y7HhqjaMj72w,UCTD6q1nyIe3Y7HhqjaMj72w,author,@JuanChang-r6k,@JuanChang-r6k,,,,,,127,127,1,1
A:UCTP3O0rMnc8z8v8jaDQwL0w,UCTP3O0rMnc8z8v8jaDQwL0w,author,@RobertoZelaya-x1v,@RobertoZelaya-x1v,,,,,,127,127,1,1
A:UCSou6a2OuYGSvPjm5psquyA,UCSou6a2OuYGSvPjm5psquyA,author,@FranciscoRivera-sf7ne,@FranciscoRivera-sf7ne,,,,,,127,127,1,1
A:UCipetjeiWj4CZB6EbyYziZg,UCipetjeiWj4CZB6EbyYziZg,author,@OseasSamayoa-ol5rz,@OseasSamayoa-ol5rz,,,,,,127,127,1,1
A:UCut6b9S98nv84cVX89PmKzA,UCut6b9S98nv84cVX89PmKzA,author,@yeniferaguirre4498,@yeniferaguirre4498,,,,,,127,127,2,1
A:UCWIZUtKJ636y-4TYrNvok0g,UCWIZUtKJ636y-4TYrNvok0g,author,@cesarandreas7824,@cesarandreas7824,,,,,,127,127,1,1
A:UCXXh7yg5KUFIWylTiKVEFKQ,UCXXh7yg5KUFIWylTiKVEFKQ,author,@MrDuenderojo,@MrDuenderojo,,,,,,127,127,2,1
A:UCZ51R_9Q9C0c8I3pAWhtmjQ,UCZ51R_9Q9C0c8I3pAWhtmjQ,author,@belvettzapeta1251,@belvettzapeta1251,,,,,,127,127,1,1
A:UCYwpX26TrCxq8TvbKGRYLXA,UCYwpX26TrCxq8TvbKGRYLXA,author,@beneficioelcaminovillacana8540,@beneficioelcaminovillacana8540,,,,,,127,127,1,1
A:UCXSkL3ejZ8qWYyF_M7s_QKA,UCXSkL3ejZ8qWYyF_M7s_QKA,author,@JacintaTzoy,@JacintaTzoy,,,,,,127,127,1,1
A:UCZLG9qH0tUjNhEGFIUt0CYw,UCZLG9qH0tUjNhEGFIUt0CYw,author,@SoniaMarroquin-y6e,@SoniaMarroquin-y6e,,,,,,127,127,1,1
A:UC4wq3DcbfaG6dtCqn8Oyu3w,UC4wq3DcbfaG6dtCqn8Oyu3w,author,@hugoasencio7764,@hugoasencio7764,,,,,,127,127,1,1
A:UCwW2OFy95P7ZBkOPxWkpvYg,UCwW2OFy95P7ZBkOPxWkpvYg,author,@TeresaLucero-b5o,@TeresaLucero-b5o,,,,,,127,127,2,1
A:UCvApqeCbLod-wejtT4CcVuA,UCvApqeCbLod-wejtT4CcVuA,author,@davidgaher9550,@davidgaher9550,,,,,,127,127,1,1
A:UCwO2SXr0ggzwg6QWWrr01nQ,UCwO2SXr0ggzwg6QWWrr01nQ,author,@ricardofigueroa5720,@ricardofigueroa5720,,,,,,127,127,1,1
A:UCwha8rxULYMVtNwZWeSkE1A,UCwha8rxULYMVtNwZWeSkE1A,author,@mariasamo8637,@mariasamo8637,,,,,,127,127,1,1
A:UC3qn1yJA5PeW9rkGPatQxiw,UC3qn1yJA5PeW9rkGPatQxiw,author,@VICTOREST19,@VICTOREST19,,,,,,127,127,1,1
A:UCySYJU5kUh7X8gVt9la2ISA,UCySYJU5kUh7X8gVt9la2ISA,author,@dantesarti4351,@dantesarti4351,,,,,,127,127,1,1
A:UCxff05WuyvwELNITi7bj7UA,UCxff05WuyvwELNITi7bj7UA,author,@markoherrera,@markoherrera,,,,,,127,127,1,1
A:UCQtICyzWmhC5woCtbNgaSmg,UCQtICyzWmhC5woCtbNgaSmg,author,@nestormendez6216,@nestormendez6216,,,,,,127,127,2,1
A:UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,@MarcosCarillo-b1r,,,,,,54,54,2,2
A:UCzZ6dDCEsLMXbc5pCFXIprw,UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,@josegil3813,,,,,,49,49,2,2
A:UC7dadZG7kkGYnsNu6td0FbA,UC7dadZG7kkGYnsNu6td0FbA,author,@lesolorzano,@lesolorzano,,,,,,48,48,1,1
A:UC95PSMouTx2N5CbSq0hIyrQ,UC95PSMouTx2N5CbSq0hIyrQ,author,@lisss1908,@lisss1908,,,,,,48,48,1,1
A:UC6Uj1FT5JjDSF8vudvDxPAA,UC6Uj1FT5JjDSF8vudvDxPAA,author,@alfredoortega9264,@alfredoortega9264,,,,,,48,48,1,1
A:UCqCrvuoJpC-aVb0f4logQRQ,UCqCrvuoJpC-aVb0f4logQRQ,author,@Lyrics_GT,@Lyrics_GT,,,,,,48,48,1,1
A:UCpe5jW3MIqkgTJ-PgkzvM6Q,UCpe5jW3MIqkgTJ-PgkzvM6Q,author,@carloslam5333,@carloslam5333,,,,,,48,48,1,1
A:UCCBYcToQ2dwkd6TJh0FSyDg,UCCBYcToQ2dwkd6TJh0FSyDg,author,@lidiarodriguez3493,@lidiarodriguez3493,,,,,,48,48,1,1
A:UColMq7LmaoY3MT6aIDGrGvA,UColMq7LmaoY3MT6aIDGrGvA,author,@quijotachapina1,@quijotachapina1,,,,,,48,48,1,1
A:UCsGoJEvb-cFPZ2rWoJcXzEQ,UCsGoJEvb-cFPZ2rWoJcXzEQ,author,@sergiohinestroza9709,@sergiohinestroza9709,,,,,,48,48,1,1
A:UC-fiZBS5Gp1eCJd9ucgWnCg,UC-fiZBS5Gp1eCJd9ucgWnCg,author,@Tommii.10,@Tommii.10,,,,,,48,48,1,1
A:UC816IGbFCZinfYS1LRDaaHg,UC816IGbFCZinfYS1LRDaaHg,author,@ingenieroar,@ingenieroar,,,,,,48,48,1,1
A:UCAKuKvcbfnBD3kF5njNu-IA,UCAKuKvcbfnBD3kF5njNu-IA,author,@melvinlopez7096,@melvinlopez7096,,,,,,48,48,1,1
A:UCkVtmkK07b2zaVVNssX4lOg,UCkVtmkK07b2zaVVNssX4lOg,author,@HectorElias-u2l,@HectorElias-u2l,,,,,,48,48,1,1
