video_id,title,channel_id,channel_name,channel_handle_norm,category,source_query,source_group,view_count_final,publish_date,n_keywords,n_query_hits,description_len,video_url,n_comentarios_observados,n_autores_observados,n_me_gusta_observados,n_respuestas_observadas,tiene_comentarios_observados
VgcpKa1h_2Q,CONQUISTA LA CIUDAD / 21K BAM de la Municipalidad de Guatemala,UC_nkMVSKgO9PeEaZ3LbPodg,21KMuniGuate,@21KMuniGuate,Sports,Municipalidad de Guatemala,topic,3110,2014-08-04T13:18:37-07:00,18,1,99,https://www.youtube.com/watch?v=VgcpKa1h_2Q,0,0,0,0,False
VuIl4tjeKGQ,La ciudad sigue modernizándose para ti y tu familia.,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,@MunicipalidaddeGuatemala-1551,News & Politics,Municipalidad de Guatemala,official_gov,39168,2023-05-15T08:16:11-07:00,25,1,48,https://www.youtube.com/watch?v=VuIl4tjeKGQ,0,0,0,0,False
W415t12o3DA,Mujer con crisis nerviosa tras intento de asalto,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,@TN23TodoNoticias,News & Politics,guatemala noticias,topic,4737,2026-08-25T14:06:48-07:00,13,1,54,https://www.youtube.com/watch?v=W415t12o3DA,0,0,0,0,False
WQcgx8rs0Qo,"PMT SE BURL4 DE UN MOTORISTA D1SC4PACIT4D0, DISCULPESE POR FAVOR VILLA NUEVA, GUATEMALA.",UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,@CronosTime,Education,PMT Guatemala,official_gov,1861,2026-06-26T12:20:11-07:00,17,1,1142,https://www.youtube.com/watch?v=WQcgx8rs0Qo,0,0,0,0,False
WXA2Apo79jA,Resumen de atención a Emergencias CIV,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,@CIV_Guatemala,News & Politics,Ministerio de Comunicaciones Guatemala,official_gov,29,2024-08-26T09:29:25-07:00,0,1,433,https://www.youtube.com/watch?v=WXA2Apo79jA,0,0,0,0,False
WXgGL9rZUHo,#EnvivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,@dcaguatemala,News & Politics,Gobierno de Guatemala,topic,190,2026-03-05T07:37:25-08:00,0,1,47,https://www.youtube.com/watch?v=WXgGL9rZUHo,0,0,0,0,False
XLkVzqqL34Q,Nueva Mega Autopista Xochi en Guatemala 🇬🇹 ¿Vale la pena? (Te ahorra hasta 3 horas),UCkXkEfAaEGxUaIT6TBBkwMw,One Life,@onelife5106,Entertainment,guatemala trafico,topic,44510,2026-04-08T16:40:14-07:00,31,1,1538,https://www.youtube.com/watch?v=XLkVzqqL34Q,0,0,0,0,False
XVZM15KVXjM,Conoce sobre la actualización de la Norma para la Reducción de Desastres número 2 (NRD2).,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,@Conred_GT,Education,Conred Guatemala,official_gov,267,2025-12-23T07:48:19-08:00,0,1,157,https://www.youtube.com/watch?v=XVZM15KVXjM,0,0,0,0,False
g0aCNpZaAZ8,PMT de Guatemala es ejemplo para otros municipios,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,@MunicipalidaddeGuatemala-1551,News & Politics,PMT Guatemala,official_gov,4103,2017-11-11T07:17:42-08:00,42,1,313,https://www.youtube.com/watch?v=g0aCNpZaAZ8,0,0,0,0,False
a3QGSpNx9Mg,Guatemala ya no aguanta el tráfico… ¿Funcionará el Aerómetro?,UCHBzKtCUFwHuKFGD3bEHexQ,Entre Caminos,@entrecaminostv,Travel & Events,guatemala trafico,topic,8098,2026-08-20T15:30:25-07:00,19,1,2111,https://www.youtube.com/watch?v=a3QGSpNx9Mg,0,0,0,0,False
a2zgl-1KZwY,#CadenaNacional | Mensaje del Presidente Bernardo Arévalo a la nación,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,Gobierno de Guatemala,official_gov,2334,2025-10-26T19:13:32-07:00,0,1,69,https://www.youtube.com/watch?v=a2zgl-1KZwY,0,0,0,0,False
_cUZT7LMKE0,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,@GobiernodeGuatemala,topic,2708,2025-05-29T21:14:01-07:00,0,1,59,https://www.youtube.com/watch?v=_cUZT7LMKE0,0,0,0,0,False
_NSq2q0mzCY,42K y 21K MuniGuate 🏃🏻🏃🏻‍♀️,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,@MunicipalidaddeGuatemala-1551,News & Politics,Municipalidad de Guatemala,official_gov,47,2026-08-30T07:14:21-07:00,0,1,193,https://www.youtube.com/watch?v=_NSq2q0mzCY,0,0,0,0,False
_Lcbi4NCHRA,Tercer Informe General de la República,UCh4GjKBcqxOsL_Bt8gCCSLg,Gobierno de Guatemala,@GobiernodeGuatemala,News & Politics,Gobierno de la República de Guatemala,topic,305269,2023-01-12T16:15:00-08:00,4,1,193,https://www.youtube.com/watch?v=_Lcbi4NCHRA,0,0,0,0,False
_3kK0or6QI0,PROVIAL guatemala,UCdd624oESXuVlcGtrzMWEBQ,heto009,@heto009,News & Politics,Provial Guatemala,official_gov,2054,2009-07-18T15:03:43-07:00,2,1,62,https://www.youtube.com/watch?v=_3kK0or6QI0,0,0,0,0,False
_1VIxOLyaUQ,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,UCKZ0c9xQAIokTOf4iPJd5jw,Ambient Sound Explorer,@ambient_sound_explorer,Entertainment,guatemala trafico,topic,330057,2024-06-24T09:45:01-07:00,26,1,1410,https://www.youtube.com/watch?v=_1VIxOLyaUQ,0,0,0,0,False
XktDG8dmcd0,Torrenciales lluvias dejan decenas de muertos y miles de evacuados,UCT4Jg8h03dD0iN3Pb5L0PMA,DW Español,@dwespanol,News & Politics,guatemala lluvias,topic,5171,2023-09-26T17:45:02-07:00,13,1,303,https://www.youtube.com/watch?v=XktDG8dmcd0,0,0,0,0,False
Z_pWnOi7oRw,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,@dcaguatemala,News & Politics,Gobierno de Guatemala,official_gov,1329,2026-05-12T01:25:56-07:00,0,1,58,https://www.youtube.com/watch?v=Z_pWnOi7oRw,0,0,0,0,False
ZS74P3DnykA,"Policía Nacional Civil gradúa 3,978 nuevos agentes",UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,@PNCdeGuatemala,News & Politics,Policia Nacional Civil Guatemala,official_gov,115270,2017-12-22T05:56:56-08:00,22,1,2331,https://www.youtube.com/watch?v=ZS74P3DnykA,0,0,0,0,False
ZPBiWdHXg20,Piloto de tráiler accidentado en ruta al Atlántico era un menor y murió en el lugar,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,@PrensaLibreOficial,News & Politics,guatemala noticias,topic,233632,2026-07-04T10:17:15-07:00,4,1,612,https://www.youtube.com/watch?v=ZPBiWdHXg20,0,0,0,0,False
ZNwStkzWgso,Elección judicial en Guatemala: Astrid Lemus y Luis Bermejo electos para corte de constitucionalidad,UC_lEiu6917IJz03TnntWUaQ,CNN en Español,@cnnee,News & Politics,guatemala politica,topic,24636,2026-02-16T16:43:11-08:00,9,1,1102,https://www.youtube.com/watch?v=ZNwStkzWgso,0,0,0,0,False
ZHJoIah2Owo,Conoce como funciona el Sistema Conred  #laprevenciónestareadetodos,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,@Conred_GT,Education,Conred Guatemala,official_gov,182,2025-07-19T13:00:19-07:00,0,1,0,https://www.youtube.com/watch?v=ZHJoIah2Owo,0,0,0,0,False
YSsECnqTVik,Suscriben convenios para transferencia de fondos a CAIMUS y entidades especializadas,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,@mingobguate,News & Politics,Ministerio de Gobernacion Guatemala,official_gov,15,2026-08-24T08:15:01-07:00,4,1,64,https://www.youtube.com/watch?v=YSsECnqTVik,0,0,0,0,False
YLFXK2c60Xc,Por estas razones el 65% de las denuncias por violación en Guatemala nunca llega a un tribunal,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,@quorumgt,News & Politics,@quorumgt/videos,channel,200,2021-08-26T17:04:34-07:00,0,1,308,https://www.youtube.com/watch?v=YLFXK2c60Xc,0,0,0,0,False
YJohmVLc9QA,How to Get Around Guatemala: Complete Transportation Guide (2026),UCCM52vmXEcGzRlYyjP47PPg,Chris & Grace,@theroamingrosses,Travel & Events,guatemala transporte,topic,3897,2025-06-10T12:03:11-07:00,22,1,1544,https://www.youtube.com/watch?v=YJohmVLc9QA,0,0,0,0,False
ZhrDgVZkhg4,FORMACION BRIGADA DE PROVIAL,UCnbd_gs8-e1CQ6izIYtnSig,PROVIAL GUATEMALA,@provialguatemala4072,People & Blogs,Provial Guatemala,official_gov,4419,2013-10-03T13:57:35-07:00,0,1,66,https://www.youtube.com/watch?v=ZhrDgVZkhg4,0,0,0,0,False
2iqOSL9YguA,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,@guatevision_oficial,Entertainment,guatemala politica,topic,5181,2026-05-16T23:44:07-07:00,0,1,511,https://www.youtube.com/watch?v=2iqOSL9YguA,0,0,0,0,False
1yHN9Ci7pXs,Municipalidad de Guatemala informa,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,@MunicipalidaddeGuatemala-1551,People & Blogs,Municipalidad de Guatemala,topic,1617,2010-06-03T07:14:01-07:00,4,1,0,https://www.youtube.com/watch?v=1yHN9Ci7pXs,0,0,0,0,False
1y61Kb9uSbg,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,@mingobguate,News & Politics,PMT Guatemala,official_gov,471,2017-11-07T15:06:55-08:00,4,1,64,https://www.youtube.com/watch?v=1y61Kb9uSbg,0,0,0,0,False
1w9faaYjhyU,Fundación de la República de Guatemala 21 marzo 1847,UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,@elprofedehistoriagt2046,People & Blogs,Gobierno de la República de Guatemala,topic,31697,2020-03-20T19:59:44-07:00,0,1,713,https://www.youtube.com/watch?v=1w9faaYjhyU,0,0,0,0,False
-KDglrIzRKo,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,UC-DpoeBbCMOMOH1-j71KPqA,México Poder,@MéxicoPoder,People & Blogs,guatemala noticias,topic,29736,2026-08-29T17:00:38-07:00,15,1,1153,https://www.youtube.com/watch?v=-KDglrIzRKo,0,0,0,0,False
1HQLJycvzaQ,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,@GobiernodeGuatemala,topic,1175,2025-02-24T19:16:24-08:00,0,1,59,https://www.youtube.com/watch?v=1HQLJycvzaQ,0,0,0,0,False
1-hr8eCOt_I,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,UCwkVsH8aIOco3U_Fu7-UW5w,AztecaGuate,@AztecaGuate,Entertainment,guatemala trafico,topic,289,2023-01-16T13:10:57-08:00,0,1,211,https://www.youtube.com/watch?v=1-hr8eCOt_I,0,0,0,0,False
iCbGedZRRE8,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,@GobiernodeGuatemala,topic,1058,2025-10-27T19:33:35-07:00,0,1,59,https://www.youtube.com/watch?v=iCbGedZRRE8,0,0,0,0,False
0eiVPMexNOo,CONRED se pronuncia tras sismos en el territorio nacional,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,@TN23TodoNoticias,News & Politics,Conred Guatemala,official_gov,1875,2025-07-29T16:30:00-07:00,7,1,57,https://www.youtube.com/watch?v=0eiVPMexNOo,0,0,0,0,False
0b2vfzXdCqs,Cadena Nacional del presidente Bernardo Arévalo,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,Gobierno de Guatemala,topic,2725,2026-02-15T18:11:23-08:00,0,2,47,https://www.youtube.com/watch?v=0b2vfzXdCqs,0,0,0,0,False
0a4_g1R1-aA,Acciones relevantes en el #Resumen24Horas,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,@PNCdeGuatemala,Science & Technology,Policia Nacional Civil Guatemala,official_gov,15455,2026-08-26T05:26:21-07:00,0,1,407,https://www.youtube.com/watch?v=0a4_g1R1-aA,0,0,0,0,False
0LTLUY7LBlA,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,@deviajeconmigue,Travel & Events,guatemala transporte,topic,6099,2025-04-15T18:00:27-07:00,14,1,1168,https://www.youtube.com/watch?v=0LTLUY7LBlA,0,0,0,0,False
-O4Pa7qS9WQ,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",UCSQM9AVr3rr7_GF8RH5KFGw,Guate Maya Trip,@GuateMayaTripGT,Nonprofits & Activism,guatemala trafico,topic,383,2026-03-27T22:00:00-07:00,0,1,0,https://www.youtube.com/watch?v=-O4Pa7qS9WQ,0,0,0,0,False
zfJlUXRSaCU,Brief Political History of Guatemala,UCo1g4EQqLwMO9RqEv1rCUpQ,Crónica Panamericana,@cronicapanamericana,People & Blogs,guatemala politica,topic,53547,2021-03-12T20:15:46-08:00,0,1,441,https://www.youtube.com/watch?v=zfJlUXRSaCU,0,0,0,0,False
yCmBtmOm6nw,“¿DÓNDE ESTÁN?”: GOBIERNO IMPULSA MECANISMO PARA BUSCAR A DESAPARECIDOS DEL CONFLICTO ARMADO,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,@iDocumenta,News & Politics,@GobiernodelaRepublicadeGuatema,topic,6,2026-06-19T21:23:06-07:00,0,1,533,https://www.youtube.com/watch?v=yCmBtmOm6nw,0,0,0,0,False
y8XMbMxMF8E,"Gracias a la inteligencia, coordinación y firmeza, se dió un duro golpe al crimen organizado",UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,@mingobguate,News & Politics,Ministerio de Gobernacion Guatemala,official_gov,84,2026-08-27T07:49:10-07:00,4,1,64,https://www.youtube.com/watch?v=y8XMbMxMF8E,0,0,0,0,False
0iQD8zHxZIg,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,UCoVACVT8WitFTc_Ok5yhYlg,Tras la Verdad SV,@TraslaVerdadSV,News & Politics,guatemala politica,topic,36701,2026-01-21T09:00:02-08:00,5,1,889,https://www.youtube.com/watch?v=0iQD8zHxZIg,0,0,0,0,False
5nw9G1vwnYY,Actriz guatemalteca caracteriza a Consuelo Porras frente al MP por salida del cargo,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,@PrensaLibreOficial,News & Politics,guatemala noticias,topic,40327,2026-05-16T18:15:50-07:00,17,1,711,https://www.youtube.com/watch?v=5nw9G1vwnYY,0,0,0,0,False
5Y7fntl6Rc8,Cómo llegar a TIKAL desde Ciudad de GUATEMALA en autobús o en Avión | transporte a PETÉN,UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,@deviajeconmigue,Travel & Events,guatemala transporte,topic,11061,2025-04-22T18:00:06-07:00,19,1,1350,https://www.youtube.com/watch?v=5Y7fntl6Rc8,0,0,0,0,False
5UNxNfcSzG4,Distinción del Cambio de la Rosa de la Paz a Pedro Castro López del INACOP,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,Gobierno de la República de Guatemala,topic,741,2026-08-28T10:14:57-07:00,0,1,102,https://www.youtube.com/watch?v=5UNxNfcSzG4,0,0,0,0,False
5OhxjDvuYbQ,"Operativos PMT ""Cero Tolerancia"" para fin de año",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,@MunicipalidaddeGuatemala-1551,News & Politics,PMT Guatemala,official_gov,494,2019-12-31T05:00:10-08:00,28,1,340,https://www.youtube.com/watch?v=5OhxjDvuYbQ,0,0,0,0,False
5MFnG5B7ric,Municipalidad de Guatemala   09/07/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,@ConcejalesOposición,People & Blogs,@MunicipalidaddeGuatemala-1551,topic,107,2025-07-09T17:11:59-07:00,0,1,121,https://www.youtube.com/watch?v=5MFnG5B7ric,0,0,0,0,False
5DRG-WGTq1k,El Sistema CONRED continúa activo y trabajando de manera coordinada #VolcánDeFuego.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,@Conred_GT,Education,Conred Guatemala,official_gov,68,2026-08-04T06:17:36-07:00,0,1,0,https://www.youtube.com/watch?v=5DRG-WGTq1k,0,0,0,0,False
4H6w9FQAcS8,"Avances en temas de economía, precios de los combustibles y otros temas de interés nacional.",UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,Gobierno de Guatemala,official_gov,1489,2026-03-16T20:42:29-07:00,0,1,103,https://www.youtube.com/watch?v=4H6w9FQAcS8,0,0,0,0,False
4FUed7cIhPU,El Sistema CONRED y el Gobierno de Guatemala trabajan unidos para atender emergencias.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,@Conred_GT,Education,Conred Guatemala,official_gov,47,2025-09-24T17:14:31-07:00,0,1,104,https://www.youtube.com/watch?v=4FUed7cIhPU,0,0,0,0,False
2n31FhKmELI,TRÁFICO EN GUATEMALA,UC96TdbkzdlngA9hT1XNzJkw,Fralis Maxiel Martinez,@martinezfralis,People & Blogs,guatemala trafico,topic,512,2024-05-06T21:28:03-07:00,0,1,2003,https://www.youtube.com/watch?v=2n31FhKmELI,0,0,0,0,False
45xQLtMlPdo,"PRESIDENTE DE GUATEMALA, BERNARDO ARÉVALO SE REFIERE AL “DÍA INTERNACIONAL DE LA LIBERTAD DE PRENSA”",UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,@iDocumenta,People & Blogs,@GobiernodelaRepublicadeGuatema,topic,8,2026-05-05T11:42:52-07:00,0,1,462,https://www.youtube.com/watch?v=45xQLtMlPdo,0,0,0,0,False
3onMfRym3OU,PRIMER PUENTE DONDE ARRIBA VA EL TRÁFICO Y ABAJO UN TREN EN GUATEMALA Y AMÉRICA LATINA.,UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,@CronosTime,Education,guatemala trafico,topic,4484,2026-08-26T11:12:06-07:00,15,1,1128,https://www.youtube.com/watch?v=3onMfRym3OU,0,0,0,0,False
