source,target,source_type,target_type,source_raw_id,target_raw_id,weight,significado_peso,me_gusta_en_esos_comentarios,respuestas_recibidas_en_esos_comentarios,comment_ids,source_label,target_label
A:UCvcu1kR8xMYy_I1Ty-2mV2Q,V:ndAZjHqzzT8,author,video,UCvcu1kR8xMYy_I1Ty-2mV2Q,ndAZjHqzzT8,2,numero de comentarios observados del autor en el video,0,0,UgxXy9CurqMBEjFnVwF4AaABAg|UgzaWev1Ju6338Y7Ehl4AaABAg.A3Wof66r37mA3WrEtkJyep,@hashojea7348,Internet: escoger el menos malo
A:UCwW2OFy95P7ZBkOPxWkpvYg,V:n8iP75gIpmw,author,video,UCwW2OFy95P7ZBkOPxWkpvYg,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,2,0,Ugwp1SacIqA0qS_netd4AaABAg|Ugxoc10_rBva4f6IW2N4AaABAg,@TeresaLucero-b5o,Qué rico come tu diputado
A:UCylqlpsh8ENNM1LqgQ1KbxA,V:j43HgwYFKfk,author,video,UCylqlpsh8ENNM1LqgQ1KbxA,j43HgwYFKfk,2,numero de comentarios observados del autor en el video,1,0,UgyRmKHMG-ygpot6nY14AaABAg|UgyoRKhs1yP8oKoD3uh4AaABAg,@Jel.Awesh.M,La cooptación de Walter Mazariegos en la USAC
A:UCz3gu01bmjNv0DpRq-K3XYg,V:n8iP75gIpmw,author,video,UCz3gu01bmjNv0DpRq-K3XYg,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,2,0,UgxvmbFNm6tYRX6yfLN4AaABAg|Ugzx7TTfRu5S-pT0LuZ4AaABAg,@eusebiovasquez4385,Qué rico come tu diputado
A:UC-HeUTT6_g-VoiWds2a4H-w,V:6W4u8sGEnGM,author,video,UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,1,numero de comentarios observados del autor en el video,0,0,UgxkcFai5KbeHyhGbnF4AaABAg,@JorgeMunoz-gd9et,Inician los trabajos de recuperación del Puente Belice II.
A:UC-Iul5tDYH_oiAMXQH-KaaQ,V:6W4u8sGEnGM,author,video,UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,1,numero de comentarios observados del autor en el video,1,0,UgzfLTatI6lJD6Z_u_94AaABAg,@AlbertoMancilla-p9h,Inician los trabajos de recuperación del Puente Belice II.
A:UC-fiZBS5Gp1eCJd9ucgWnCg,V:j43HgwYFKfk,author,video,UC-fiZBS5Gp1eCJd9ucgWnCg,j43HgwYFKfk,1,numero de comentarios observados del autor en el video,6,0,UgzYz6n8mPI0dBWsP2h4AaABAg,@Tommii.10,La cooptación de Walter Mazariegos en la USAC
A:UC-hfX8J5JPJ-dfuakzegMLA,V:n8iP75gIpmw,author,video,UC-hfX8J5JPJ-dfuakzegMLA,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,6,0,UgzzpE27HS1dmWfyATJ4AaABAg,@normaleticiaorozcojuarez2418,Qué rico come tu diputado
A:UC-jS_kA9w-OmpupXDx156Rg,V:n8iP75gIpmw,author,video,UC-jS_kA9w-OmpupXDx156Rg,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,2,0,UgyypM6Ts6Ut_EuFcdN4AaABAg,@simoncreyesc7579,Qué rico come tu diputado
A:UC-pNP6RMFuLg_-x7Ah_0kEA,V:n8iP75gIpmw,author,video,UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,5,0,UgwYaHf9EYIl5Pf-y514AaABAg,@almacatalan2717,Qué rico come tu diputado
A:UC094EFEmMSdwVa8NQjjYBXg,V:b_Hkrkl3adA,author,video,UC094EFEmMSdwVa8NQjjYBXg,b_Hkrkl3adA,1,numero de comentarios observados del autor en el video,0,0,UgzZMPOIKJlwEpgh7zd4AaABAg.AaB6SZj2UadAaBRkGrUAJI,@CelestinoQuej-j7k,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales
A:UC0HvfEWozTHbwl_iEmJNvVA,V:6W4u8sGEnGM,author,video,UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,1,numero de comentarios observados del autor en el video,3,0,UgyD5CIXnbXNiM-a4VF4AaABAg,@OttoPalencia-b7r,Inician los trabajos de recuperación del Puente Belice II.
A:UC0RpuMwkDKJYqgKHtsJRuWQ,V:lj983NWyAQY,author,video,UC0RpuMwkDKJYqgKHtsJRuWQ,lj983NWyAQY,1,numero de comentarios observados del autor en el video,113,1,Ugxj76_NAyOnh_vsgMV4AaABAg,@sabinamarinaguerra3248,Plan 2032 Ciudad de Guatemala
A:UC0aEyakBPqcBkVJiErfSupQ,V:lj983NWyAQY,author,video,UC0aEyakBPqcBkVJiErfSupQ,lj983NWyAQY,1,numero de comentarios observados del autor en el video,70,0,UgyeTw07aydjDqK4crN4AaABAg,@jhonymanuel9891,Plan 2032 Ciudad de Guatemala
A:UC14qlobYKqD-DO0j6b75lcA,V:6W4u8sGEnGM,author,video,UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,1,numero de comentarios observados del autor en el video,0,0,UgyE6hk1g9jR7zB67lV4AaABAg,@megavision4488,Inician los trabajos de recuperación del Puente Belice II.
A:UC1DpqK6vaPEkBOMNvypsKYg,V:j43HgwYFKfk,author,video,UC1DpqK6vaPEkBOMNvypsKYg,j43HgwYFKfk,1,numero de comentarios observados del autor en el video,0,0,UgxJQfg5iHA6vRWS0El4AaABAg,@HectorCarranza-u4j4o,La cooptación de Walter Mazariegos en la USAC
A:UC1NiEdJ7gk6FlDexIalWnGg,V:6W4u8sGEnGM,author,video,UC1NiEdJ7gk6FlDexIalWnGg,6W4u8sGEnGM,1,numero de comentarios observados del autor en el video,0,0,UgyNuIQ1W1M3g8ut6314AaABAg,@BorisTebalán,Inician los trabajos de recuperación del Puente Belice II.
A:UC1WlJfQmaIskYhP4gmWoamw,V:OkXlHx0hx-8,author,video,UC1WlJfQmaIskYhP4gmWoamw,OkXlHx0hx-8,1,numero de comentarios observados del autor en el video,2,1,Ugw_g00Bv3m-cnSxhMp4AaABAg,@marthareiss5434,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
A:UC1Y7x3h0c95Z8kUhi-Tzaeg,V:PjmxCj-a9Hg,author,video,UC1Y7x3h0c95Z8kUhi-Tzaeg,PjmxCj-a9Hg,1,numero de comentarios observados del autor en el video,0,0,UgwZw9X6DpxCIJ6YkXZ4AaABAg,@rosadiaz9235,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
A:UC1vr9aaMI2crB0NvwFHUeoQ,V:n8iP75gIpmw,author,video,UC1vr9aaMI2crB0NvwFHUeoQ,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,0,0,UgxfUxJfY_pjvu9318Z4AaABAg,@JoseSimilox-p6e,Qué rico come tu diputado
A:UC2Y_EHWQKevubk4vOEBBFxw,V:n8iP75gIpmw,author,video,UC2Y_EHWQKevubk4vOEBBFxw,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,1,0,Ugxl5bLZ1llR9fV0V0l4AaABAg,@alfonsomorales2653,Qué rico come tu diputado
A:UC2ngpd8UBQu4gcUYy0goAtg,V:06mFNPU0aB8,author,video,UC2ngpd8UBQu4gcUYy0goAtg,06mFNPU0aB8,1,numero de comentarios observados del autor en el video,0,0,UgwtcR5U0FAkeZsiVVt4AaABAg,@juliohernandez7438,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
A:UC2weSE8rpqkGMOp6StYtVfg,V:n8iP75gIpmw,author,video,UC2weSE8rpqkGMOp6StYtVfg,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,1,0,UgzBpiHQkRpqfeyCDwd4AaABAg,@katerynsantiago2907,Qué rico come tu diputado
A:UC32oozucwCF3q8d4m8fyOUg,V:j43HgwYFKfk,author,video,UC32oozucwCF3q8d4m8fyOUg,j43HgwYFKfk,1,numero de comentarios observados del autor en el video,0,0,UgzWNBqTQMz8ba4pbUd4AaABAg,@RauldejesusOlivagonzalez,La cooptación de Walter Mazariegos en la USAC
A:UC3E9mAgP7VoAE5mZoAexl5g,V:n8iP75gIpmw,author,video,UC3E9mAgP7VoAE5mZoAexl5g,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,0,0,UgyMRj1sNq6Xkrqepst4AaABAg,@EnnioAroche,Qué rico come tu diputado
A:UC3MYTqpQqlWBuCB7Th0e0PA,V:n8iP75gIpmw,author,video,UC3MYTqpQqlWBuCB7Th0e0PA,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,4,0,Ugw_wfk-1nUcdyG3muZ4AaABAg,@isaaclopez7220,Qué rico come tu diputado
A:UC3NMzdMYryaw82kPTnsaljg,V:n8iP75gIpmw,author,video,UC3NMzdMYryaw82kPTnsaljg,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,0,0,UgzFOdujc0-cy9W1Uv14AaABAg,@marisosa7832,Qué rico come tu diputado
A:UC3UVO7pTbeYvZ3ILEyRDskQ,V:j43HgwYFKfk,author,video,UC3UVO7pTbeYvZ3ILEyRDskQ,j43HgwYFKfk,1,numero de comentarios observados del autor en el video,1,0,UgyB52GZe4-PXJ2TqYB4AaABAg,@rosaelenaargueta79,La cooptación de Walter Mazariegos en la USAC
A:UC3YpzAr7pcdKC7BVFEpYzog,V:6W4u8sGEnGM,author,video,UC3YpzAr7pcdKC7BVFEpYzog,6W4u8sGEnGM,1,numero de comentarios observados del autor en el video,4,1,UgyHIuxG8A2lYDRB6vh4AaABAg,@carmenfigueroa1232,Inician los trabajos de recuperación del Puente Belice II.
A:UC3iIU62XKUOWuqL8BqBzj9A,V:b_Hkrkl3adA,author,video,UC3iIU62XKUOWuqL8BqBzj9A,b_Hkrkl3adA,1,numero de comentarios observados del autor en el video,0,0,Ugwbnz3tRoBa7Vs3A3d4AaABAg,@antonioduarte2288,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales
A:UC3qn1yJA5PeW9rkGPatQxiw,V:n8iP75gIpmw,author,video,UC3qn1yJA5PeW9rkGPatQxiw,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,7,0,Ugx3yIUZXGeiOVESIEl4AaABAg,@VICTOREST19,Qué rico come tu diputado
A:UC4Avya4kmR4Q0FrfFdBozSQ,V:j43HgwYFKfk,author,video,UC4Avya4kmR4Q0FrfFdBozSQ,j43HgwYFKfk,1,numero de comentarios observados del autor en el video,11,0,Ugxb1xcC9SSJ_5vSArF4AaABAg,@davidlima1348,La cooptación de Walter Mazariegos en la USAC
A:UC4cXueR2bKGFJV0Fk76gwmA,V:n8iP75gIpmw,author,video,UC4cXueR2bKGFJV0Fk76gwmA,n8iP75gIpmw,1,numero de comentarios observados del autor en el video,0,0,UgzOB-KAGGElQGAPxEZ4AaABAg,@aluxdel4792,Qué rico come tu diputado
A:UC4kg7zuTfqQKLd2bkZrSYBA,V:is3Mk5oC19g,author,video,UC4kg7zuTfqQKLd2bkZrSYBA,is3Mk5oC19g,1,numero de comentarios observados del autor en el video,0,0,Ugz8hBV9j2KQGtMhPUR4AaABAg,@zoilagarcia9019,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu
