author_channel_id,author_handle,author_name,n_comentarios,n_videos_distintos,n_canales_distintos,me_gusta_recibidos,respuestas_recibidas,strength_bipartita,degree_proyeccion_autores,strength_proyeccion_autores,n_comunidades_video_tocadas,comunidades_video_tocadas,videos_comentados,titulos_videos,canales,delta_componentes_al_eliminar,aristas_video_perdidas_al_eliminar,es_puente_verificado,es_recurrente,es_multicanal,es_multicomunidad
UCz3gu01bmjNv0DpRq-K3XYg,@eusebiovasquez4385,@eusebiovasquez4385,2,1,1,2,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,@JorgeMunoz-gd9et,1,1,1,0,0,1,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,@AlbertoMancilla-p9h,1,1,1,1,0,1,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,@Tommii.10,1,1,1,6,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,@normaleticiaorozcojuarez2418,1,1,1,6,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,@simoncreyesc7579,1,1,1,2,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,@almacatalan2717,1,1,1,5,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,@CelestinoQuej-j7k,1,1,1,0,0,1,6,6,1,[0],b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,0,0,False,False,False,False
UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,@OttoPalencia-b7r,1,1,1,3,0,1,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,@sabinamarinaguerra3248,1,1,1,113,1,1,24,24,1,[9],lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,0,0,False,False,False,False
UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,@jhonymanuel9891,1,1,1,70,0,1,24,24,1,[9],lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,0,0,False,False,False,False
UC14qlobYKqD-DO0j6b75lcA,@megavision4488,@megavision4488,1,1,1,0,0,1,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,@HectorCarranza-u4j4o,1,1,1,0,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,@BorisTebalán,1,1,1,0,0,1,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,@marthareiss5434,1,1,1,2,1,1,17,17,1,[5],OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,0,0,False,False,False,False
UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,@rosadiaz9235,1,1,1,0,0,1,18,18,1,[1],PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,@JoseSimilox-p6e,1,1,1,0,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,@alfonsomorales2653,1,1,1,1,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,@juliohernandez7438,1,1,1,0,0,1,12,12,1,[1],06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,0,0,False,False,False,False
UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,@katerynsantiago2907,1,1,1,1,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC32oozucwCF3q8d4m8fyOUg,@RauldejesusOlivagonzalez,@RauldejesusOlivagonzalez,1,1,1,0,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC3E9mAgP7VoAE5mZoAexl5g,@EnnioAroche,@EnnioAroche,1,1,1,0,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC3MYTqpQqlWBuCB7Th0e0PA,@isaaclopez7220,@isaaclopez7220,1,1,1,4,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,@marisosa7832,1,1,1,0,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC3UVO7pTbeYvZ3ILEyRDskQ,@rosaelenaargueta79,@rosaelenaargueta79,1,1,1,1,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,@carmenfigueroa1232,1,1,1,4,1,1,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,False,False,False
UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,@antonioduarte2288,1,1,1,0,0,1,6,6,1,[0],b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,0,0,False,False,False,False
UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,@VICTOREST19,1,1,1,7,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC4Avya4kmR4Q0FrfFdBozSQ,@davidlima1348,@davidlima1348,1,1,1,11,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
