author_channel_id,n_comentarios,n_videos,n_canales,n_me_gusta,n_respuestas_recibidas,author_handle,author_name,len_medio
UC8r11yOugM2NuRfitQOxLLg,1,1,1,1,0,@cesaraugustomoralesmonroy6907,@cesaraugustomoralesmonroy6907,285.0
UC8xlJWNHz1V_W6q3fbuQH8g,1,1,1,1,0,@NormaLópez-v7e,@NormaLópez-v7e,25.0
UC95PSMouTx2N5CbSq0hIyrQ,1,1,1,0,0,@lisss1908,@lisss1908,1.0
UC9Wp6vL5oCU37qC3Aj94WZA,1,1,1,0,0,@ManuelSanchez-b8q2z,@ManuelSanchez-b8q2z,102.0
UC9xr9QvIcDvoZNUX5f-jaZw,1,1,1,0,0,@MariaaliciaColonmorales,@MariaaliciaColonmorales,186.0
UCA93ym2TXs_Ibyxb4Vcn-6Q,1,1,1,0,0,@oswaldosolis8728,@oswaldosolis8728,57.0
UCAKuKvcbfnBD3kF5njNu-IA,1,1,1,0,0,@melvinlopez7096,@melvinlopez7096,22.0
UCAV7QIjYhbDJaycQycM_0eQ,1,1,1,3,0,@mariavail8998,@mariavail8998,149.0
UCAlzM_N6xBlMYmM8EBzX86Q,1,1,1,3,0,@carlossoto3252,@carlossoto3252,458.0
UCAmtbUiIrUIhikru0ZoTFig,1,1,1,7,0,@Aura-vf6dm,@Aura-vf6dm,11.0
UCB5p8a5gklc80jJItP6xTHg,1,1,1,6,0,@ernestogamboa8737,@ernestogamboa8737,91.0
UCBtB5dIyx-C16UN8ClUD2UA,1,1,1,0,0,@alexmonzon4257,@alexmonzon4257,45.0
UCCBYcToQ2dwkd6TJh0FSyDg,1,1,1,0,0,@lidiarodriguez3493,@lidiarodriguez3493,84.0
UCCUmP4PlbwgikVFpYwbtRTg,1,1,1,3,0,@alhvi,@alhvi,153.0
UCCaYwkkbQGcvFoUmothVdQQ,1,1,1,0,0,@OsvaldoAguirre-l3i,@OsvaldoAguirre-l3i,226.0
UCDIMztpVm7G27qBuiWuT6oQ,1,1,1,0,0,@lizardomorataya8274,@lizardomorataya8274,13.0
UCDPWkUX3sNNaCx-m1dV4glA,1,1,1,0,0,@hectoroliva949,@hectoroliva949,105.0
UCDQaQv0hr2SS_PO-CMEwVHg,1,1,1,1,0,@federicosaquimux1933,@federicosaquimux1933,235.0
UCDUffaruH6dyUnUGwsTKpgg,1,1,1,2,0,@luisletona2842,@luisletona2842,18.0
UCDftMWXQoJ6nONfY7GVOVjg,1,1,1,0,0,@luisgpacheco5858,@luisgpacheco5858,257.0
UCDlr1VadSucIZgZ171pRBjQ,1,1,1,0,0,@cuabatzjj5924,@cuabatzjj5924,18.0
UCDrmf9y9nLgFY5wnA2hTuGA,1,1,1,1,0,@laboratorio5528,@laboratorio5528,144.0
UCEHXl4VvvVpq-_4xC5tsbhg,1,1,1,7,0,@anibalg47,@anibalg47,123.0
UCEgEQmRbtL5fwr9_DqAC--g,1,1,1,2,0,@ArielRodas-g5y,@ArielRodas-g5y,60.0
UCErZPJpHmLCsXs8ZWkAUupQ,1,1,1,2,1,@dorisl.garciaroche7763,@dorisl.garciaroche7763,192.0
UCFFrEmn6lPYiWyElpfzTy5Q,1,1,1,0,0,@denilsonlopez4083,@denilsonlopez4083,22.0
UCFOxCyF926Y9eHhMeVoWLzw,1,1,1,3,0,@arielsarc09,@arielsarc09,116.0
UCFUuDARXdmmIrLppEqf-rFg,1,1,1,0,0,@allanmunoz7410,@allanmunoz7410,44.0
UCFhxtoeARHPnXXPcDrOU3Xg,1,1,1,2,0,@diegoalejandrolopezmendez205,@diegoalejandrolopezmendez205,89.0
UCFoIAE8k82D6AV-8gjjKaNg,1,1,1,1,1,@eddymunoz9789,@eddymunoz9789,379.0
UCFxE8GbokBrBsPEKM1xrOjQ,1,1,1,10,0,@JuanDavila-qd7qj,@JuanDavila-qd7qj,255.0
UCFybmWapGvBKcQod7cPPH9w,1,1,1,1,0,@vitalianochavez8382,@vitalianochavez8382,29.0
UCGGHbtfbbe0o68etrOf0qxw,1,1,1,0,0,@karensussetteleonvargas9794,@karensussetteleonvargas9794,8.0
UCGX_UbAQOXGZknv5iqklwTA,1,1,1,1,0,@ronaldgarcia8522,@ronaldgarcia8522,21.0
UCGZMgmM92E3njyXNe9-kjAQ,1,1,1,2,1,@pasionpornada,@pasionpornada,139.0
UCGj2v6Gl5bN8NSrzJMXS-CA,1,1,1,0,0,@juliogutierrez492,@juliogutierrez492,173.0
UCGm3gRBEHGRJYmtCryZLtDw,1,1,1,0,0,@JoséLopez-g6k,@JoséLopez-g6k,75.0
UCGqKxQS-z3NZzZF-2w338AA,1,1,1,211,3,@samuelaguilar529,@samuelaguilar529,72.0
UCGzXwyCzMzGmjmCbH3Hg01Q,1,1,1,2,0,@FidelZacarias-ph7dy,@FidelZacarias-ph7dy,109.0
UCHGd14aYuZZShLD73dkk6mg,1,1,1,0,0,@noemiherrera3152,@noemiherrera3152,19.0
UCHMQ_lDhibZ-XZ_3fo6oxwg,1,1,1,16,0,@crislexrubi4387,@crislexrubi4387,43.0
UCHbwIx9pmQuf7i-4_xO2EpA,1,1,1,0,0,@caminoseternos752,@caminoseternos752,87.0
UCHu8x4MVkayU6VgwVKd--MQ,1,1,1,1,0,@Hernandez-i1o,@Hernandez-i1o,201.0
UCIUhbSCy3-SGRe5UtqM4fzQ,1,1,1,1,0,@jeanmorales1677,@jeanmorales1677,202.0
UCIXLDYqR_syskKRJy_x9W9Q,1,1,1,0,0,@carlitosramirez4739,@carlitosramirez4739,6.0
UCIgoiXdIKJyUGmUoH2Lxdzg,1,1,1,3,0,@susievidal4134,@susievidal4134,202.0
UCIp19h9igblA2YKfSLPDAug,1,1,1,14,1,@JoseReyes-rn6sh,@JoseReyes-rn6sh,99.0
UCJp3OrVYcBorC94sKwdch_A,1,1,1,0,0,@ULJoshmg2011,@ULJoshmg2011,1022.0
UCJxJC56BSAX-ArD0NAb9qnQ,1,1,1,0,0,@alfonsowilian9157,@alfonsowilian9157,62.0
UCKDR0f2fu2UzWL8mBv5-BHw,1,1,1,0,0,@mireyamorales6595,@mireyamorales6595,846.0
UCKVzDUqbtdSMBcexaEtMmzQ,1,1,1,0,0,@rotorairgroup8409,@rotorairgroup8409,221.0
UCL1MT278vSaQ83ZDkVWn1gw,1,1,1,20,0,@elmorodriguez6978,@elmorodriguez6978,482.0
UCLXYp1Cvc5DLtq5UQL5D9vw,1,1,1,3,1,@jorgecifuentes-m5g,@jorgecifuentes-m5g,15.0
UCLh1Kde4_vI1sTZBkTNP7RQ,1,1,1,0,0,@JoelReynoso-d4r,@JoelReynoso-d4r,4.0
UCN2N_wYOw6fMwCeSzdXLPIw,1,1,1,0,0,@danielantoniogonzalezflore4901,@danielantoniogonzalezflore4901,296.0
UCN6qbfPSzFtjhqUDZ3Cv3CQ,1,1,1,2,0,@carlosmedranovelasquez6380,@carlosmedranovelasquez6380,158.0
UCNiMNUJvaRJb0_QLClqwVnA,1,1,1,2,0,@Santiago.Nolasco,@Santiago.Nolasco,20.0
UCNkcuy42zEwddwEcOd_HpnA,1,1,1,3,0,@vanigomez492,@vanigomez492,171.0
UCNpt5CQlTzNjlAKY6CJtClQ,1,1,1,0,0,@eustaquiogomez9975,@eustaquiogomez9975,61.0
UCO0zwwLWGyDgQmWPJ5Qrr1w,1,1,1,3,0,@elsalvador3605,@elsalvador3605,49.0
UCOARn3hnfkB7-_Rwa8Hoqcw,1,1,1,0,0,@nicelol5241,@nicelol5241,166.0
UCOLHH4ZpMxPYF-Q6e6wvn5A,1,1,1,2,1,@luisroldan7374,@luisroldan7374,68.0
UCOS8ViEkccrTZx2w2ccxotA,1,1,1,4,0,@OscarHernandez-q8y,@OscarHernandez-q8y,58.0
UCOY3XpD9qMCRSA8AA8c4CAw,1,1,1,1,0,@franciscorodas9686,@franciscorodas9686,106.0
UCOcUI5XkTYNMSFhZNMIPpGg,1,1,1,3,0,@hendersonlopez3864,@hendersonlopez3864,501.0
UCOh6DaZC_x9HASnlRylEMfw,1,1,1,0,0,@AndresMedina-v1s,@AndresMedina-v1s,154.0
UCPLW0HE3siElqCgXfgWxMqg,1,1,1,0,0,@elizabethmonterroso7719,@elizabethmonterroso7719,198.0
UCPNXmbOBVeC4HS-xemvcPtQ,1,1,1,2,3,@BelkisRodriguezRamirez,@BelkisRodriguezRamirez,161.0
UCPZueDLrCS4BmTBRMA4q0fA,1,1,1,1,1,@kevinochoa3695,@kevinochoa3695,322.0
UCQIdKuZ-OzuFqy0KjGrgesg,1,1,1,1,0,@lyacausa,@lyacausa,46.0
UCQM2tCKRRytVDRxNUfCDqQQ,1,1,1,0,0,@elioelias7267,@elioelias7267,2.0
UCQMMuADgqWUOcJpLwHOzC-g,1,1,1,0,0,@Ripped-Yoda,@Ripped-Yoda,78.0
UCQgYjVngJRfPHDLGB5X6ZjA,1,1,1,0,0,@oscarnavas9996,@oscarnavas9996,61.0
UCQqetiwzzmRNTM5OWuXarGQ,1,1,1,1,0,@isaiaslopezvelasquez1539,@isaiaslopezvelasquez1539,25.0
UCQqlPPUGqAfWjd-FSh_qn7Q,1,1,1,0,0,@estuardoargueta137,@estuardoargueta137,137.0
UCQtSFINs1h6GHkpg9o5kMvg,1,1,1,12,0,@MacarioMartinezruiz,@MacarioMartinezruiz,77.0
UCQyOePccUP-fIJYzchAgZYw,1,1,1,0,0,@aguilar4254,@aguilar4254,117.0
UCRAquv8el-tQ30bN7MlmySQ,1,1,1,4,0,@iamjimalesssa,@iamjimalesssa,97.0
UCRETAiYdh2dL5ZxB0_N1zDA,1,1,1,0,0,@Joseroland21,@Joseroland21,117.0
UCRcSR3Lvn9DZAmJpVPANfZQ,1,1,1,68,0,@WalksandSuch,@WalksandSuch,32.0
UCRelkU8JiZBytTzebJxaa-w,1,1,1,3,0,@danyraymundo2942,@danyraymundo2942,84.0
UCRfkkatKrNtAARnXMMYBGlA,1,1,1,0,0,@BernerSoza-mg3vx,@BernerSoza-mg3vx,89.0
UCRlCV9zSn7avAWh-9_XFWqQ,1,1,1,1,0,@ronyarana8849,@ronyarana8849,103.0
UCRvPToDkkumha7WJAfCDk1A,1,1,1,0,0,@ligiaguerra3057,@ligiaguerra3057,8.0
UCRznz9-N3Qc1w-qNdLSIY2Q,1,1,1,14,0,@jimmygomez724,@jimmygomez724,53.0
UCSTAUWVc1_82DHYeqOsqEFA,1,1,1,191,2,@TheAlexX_C,@TheAlexX_C,84.0
UCSou6a2OuYGSvPjm5psquyA,1,1,1,0,0,@FranciscoRivera-sf7ne,@FranciscoRivera-sf7ne,26.0
