node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,n_comentarios_observados,n_videos_comentados,n_canales_comentados,degree,degree_centrality,strength,betweenness_ponderada,betweenness_no_ponderada,closeness_wf,harmonic,harmonic_normalizada,pagerank,eigenvector,k_core,clustering_ponderado,componente_id,tamano_de_su_componente,es_punto_articulacion,rank_strength,rank_betweenness,rank_pagerank
A:UC8r11yOugM2NuRfitQOxLLg,UC8r11yOugM2NuRfitQOxLLg,author,@cesaraugustomoralesmonroy6907,@cesaraugustomoralesmonroy6907,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC9vMq1YF-e7C-VO0SHkbUTA,UC9vMq1YF-e7C-VO0SHkbUTA,author,@ErvinLeonardoCarreraLatín,@ErvinLeonardoCarreraLatín,,,,,,4,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC9xr9QvIcDvoZNUX5f-jaZw,UC9xr9QvIcDvoZNUX5f-jaZw,author,@MariaaliciaColonmorales,@MariaaliciaColonmorales,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCA93ym2TXs_Ibyxb4Vcn-6Q,UCA93ym2TXs_Ibyxb4Vcn-6Q,author,@oswaldosolis8728,@oswaldosolis8728,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCAlzM_N6xBlMYmM8EBzX86Q,UCAlzM_N6xBlMYmM8EBzX86Q,author,@carlossoto3252,@carlossoto3252,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCAmtbUiIrUIhikru0ZoTFig,UCAmtbUiIrUIhikru0ZoTFig,author,@Aura-vf6dm,@Aura-vf6dm,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCB5p8a5gklc80jJItP6xTHg,UCB5p8a5gklc80jJItP6xTHg,author,@ernestogamboa8737,@ernestogamboa8737,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCCaYwkkbQGcvFoUmothVdQQ,UCCaYwkkbQGcvFoUmothVdQQ,author,@OsvaldoAguirre-l3i,@OsvaldoAguirre-l3i,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCDIMztpVm7G27qBuiWuT6oQ,UCDIMztpVm7G27qBuiWuT6oQ,author,@lizardomorataya8274,@lizardomorataya8274,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCDPWkUX3sNNaCx-m1dV4glA,UCDPWkUX3sNNaCx-m1dV4glA,author,@hectoroliva949,@hectoroliva949,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCDQaQv0hr2SS_PO-CMEwVHg,UCDQaQv0hr2SS_PO-CMEwVHg,author,@federicosaquimux1933,@federicosaquimux1933,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCDUffaruH6dyUnUGwsTKpgg,UCDUffaruH6dyUnUGwsTKpgg,author,@luisletona2842,@luisletona2842,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCDftMWXQoJ6nONfY7GVOVjg,UCDftMWXQoJ6nONfY7GVOVjg,author,@luisgpacheco5858,@luisgpacheco5858,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCDlr1VadSucIZgZ171pRBjQ,UCDlr1VadSucIZgZ171pRBjQ,author,@cuabatzjj5924,@cuabatzjj5924,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCEgEQmRbtL5fwr9_DqAC--g,UCEgEQmRbtL5fwr9_DqAC--g,author,@ArielRodas-g5y,@ArielRodas-g5y,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCErZPJpHmLCsXs8ZWkAUupQ,UCErZPJpHmLCsXs8ZWkAUupQ,author,@dorisl.garciaroche7763,@dorisl.garciaroche7763,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCFUuDARXdmmIrLppEqf-rFg,UCFUuDARXdmmIrLppEqf-rFg,author,@allanmunoz7410,@allanmunoz7410,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCFhxtoeARHPnXXPcDrOU3Xg,UCFhxtoeARHPnXXPcDrOU3Xg,author,@diegoalejandrolopezmendez205,@diegoalejandrolopezmendez205,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCFjudnPLoaSL1BaRuLahyHg,UCFjudnPLoaSL1BaRuLahyHg,author,@HaroldoCastillo-rh9iw,@HaroldoCastillo-rh9iw,,,,,,3,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCFoIAE8k82D6AV-8gjjKaNg,UCFoIAE8k82D6AV-8gjjKaNg,author,@eddymunoz9789,@eddymunoz9789,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCFxE8GbokBrBsPEKM1xrOjQ,UCFxE8GbokBrBsPEKM1xrOjQ,author,@JuanDavila-qd7qj,@JuanDavila-qd7qj,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
